Sex,Hours_Studied,Previous_Scores,Extracurricular_Activities,Sleep_Hours,Academic_Year,Performance_Index
Female,3,86,Yes,9,4,67
Male,9,63,No,9,1,64
Female,7,60,No,7,1,52
Female,1,91,No,9,3,68
Male,7,62,No,9,4,58
Male,5,88,Yes,7,2,72
Female,5,77,No,7,3,65
Male,2,86,Yes,4,4,65
Male,4,47,No,4,5,24
Male,6,46,Yes,9,3,35
Female,7,41,Yes,7,4,34
Female,5,69,Yes,7,5,57
Female,9,52,Yes,9,2,54
Female,3,62,No,5,3,42
Female,1,68,No,6,1,39
Female,4,77,Yes,8,3,62
Male,9,76,Yes,8,2,71
Female,4,59,No,9,2,42
Female,2,72,Yes,8,5,52
Male,5,68,Yes,4,1,54
Female,3,89,No,4,2,68
Female,9,54,Yes,5,1,50
Female,4,62,Yes,9,5,46
Female,6,81,No,4,5,68
Female,2,42,Yes,9,3,19
Female,6,76,No,9,1,68
Male,3,95,No,7,3,74
Female,9,68,No,6,3,63
Female,2,84,No,6,1,60
Female,9,47,Yes,9,1,47
Female,5,61,No,6,4,47
Female,8,92,No,6,2,87
Male,2,68,Yes,8,3,45
Male,6,41,No,8,4,31
Male,3,80,Yes,7,3,61
Female,5,88,No,5,5,73
Male,8,98,No,4,3,92
Male,1,89,No,4,5,65
Male,5,84,No,8,2,69
Female,3,40,Yes,9,2,20
Female,4,83,Yes,6,5,66
Male,2,59,Yes,7,4,38
Male,9,91,No,5,1,81
Male,3,60,No,8,3,39
Male,2,76,No,9,1,53
Male,9,47,Yes,7,5,44
Male,7,66,No,9,2,58
Male,6,86,Yes,7,3,79
Male,1,98,Yes,8,4,75
Female,5,74,Yes,7,5,59
Male,3,45,No,6,1,23
Male,1,99,No,7,5,74
Female,4,84,No,5,5,65
Male,2,83,No,7,5,60
Female,2,58,Yes,4,3,32
Male,3,57,Yes,7,3,38
Female,8,95,No,9,1,91
Male,8,40,No,8,1,34
Male,7,64,No,4,2,46
Male,6,66,Yes,8,3,55
Female,9,46,No,9,2,43
Male,4,83,Yes,5,4,67
Male,1,81,Yes,6,2,56
Male,8,68,Yes,5,3,58
Male,7,70,Yes,4,5,60
Female,7,83,Yes,9,2,77
Male,3,82,Yes,9,5,69
Male,4,75,Yes,6,1,60
Female,9,58,No,7,1,52
Male,6,45,No,4,5,36
Male,5,64,No,6,3,49
Female,3,70,Yes,8,3,50
Male,9,48,Yes,6,1,48
Female,5,59,No,8,4,43
Male,5,49,Yes,8,4,34
Male,4,76,Yes,9,3,57
Male,4,66,Yes,6,1,50
Male,1,52,Yes,9,5,28
Female,7,80,Yes,9,5,72
Female,9,41,Yes,5,1,38
Female,3,89,Yes,5,1,68
Female,2,60,Yes,9,3,41
Female,3,72,Yes,9,3,53
Female,1,63,Yes,8,5,36
Male,6,92,Yes,9,1,80
Male,7,83,Yes,4,5,73
Male,2,81,No,6,5,59
Male,8,73,Yes,4,4,67
Female,6,99,Yes,5,4,91
Female,4,48,No,4,4,34
Female,5,41,No,7,4,23
Male,8,94,No,7,5,86
Female,3,95,Yes,5,2,73
Male,3,69,Yes,4,2,49
Female,4,61,No,6,3,43
Male,1,85,No,5,5,61
Male,9,50,No,7,5,45
Male,8,94,Yes,5,3,85
Male,8,82,Yes,4,2,75
Female,6,56,No,4,1,44
Female,7,75,Yes,4,4,66
Female,6,52,Yes,8,2,45
Male,9,46,No,4,4,40
Male,3,55,No,9,2,38
Male,3,72,No,7,4,50
Female,3,84,Yes,7,2,67
Female,3,40,Yes,8,5,21
Male,9,50,Yes,7,4,51
Female,4,45,Yes,7,4,25
Male,7,59,Yes,5,2,53
Female,9,74,No,4,2,71
Female,7,83,Yes,9,5,77
Male,9,76,Yes,9,2,75
Female,3,80,No,5,1,60
Male,4,65,No,9,3,49
Female,8,97,No,5,3,87
Female,6,51,No,9,4,40
Male,5,69,Yes,7,1,56
Male,4,67,Yes,6,2,49
Female,8,66,No,4,2,59
Male,1,81,Yes,6,3,59
Male,9,58,No,7,2,54
Male,1,44,Yes,8,1,17
Male,8,97,Yes,5,4,90
Male,4,44,Yes,9,5,23
Male,9,80,No,9,4,82
Female,5,66,No,7,3,49
Female,3,67,Yes,9,5,50
Female,9,65,Yes,7,4,60
Male,9,66,No,6,4,60
Female,4,91,No,8,5,74
Male,4,88,Yes,5,1,71
Male,8,81,Yes,9,4,77
Male,2,60,No,8,5,34
Female,9,40,Yes,8,4,39
Male,6,93,No,8,2,85
Female,9,67,No,4,4,64
Male,8,87,Yes,8,1,87
Female,7,97,Yes,7,2,91
Female,1,97,Yes,4,4,73
Male,3,54,No,4,3,34
Female,2,94,No,8,5,70
Female,5,56,No,9,5,42
Male,5,65,Yes,9,1,55
Male,5,59,Yes,9,4,45
Female,4,64,No,9,4,49
Female,5,52,No,7,5,37
Female,3,72,Yes,9,4,55
Female,1,64,No,5,2,38
Male,5,47,Yes,8,3,35
Female,9,44,Yes,4,2,41
Female,9,45,No,5,2,43
Male,4,62,No,9,4,46
Male,3,91,No,5,5,69
Male,1,69,No,4,3,37
Female,2,53,No,9,4,31
Female,8,93,Yes,5,1,90
Male,1,62,No,7,5,33
Female,8,50,Yes,7,5,44
Male,7,70,No,8,3,62
Male,8,45,No,8,2,41
Male,6,50,No,5,3,38
Male,9,52,No,4,2,45
Female,3,51,No,7,1,34
Female,4,93,No,6,2,72
Male,6,41,Yes,8,2,29
Female,8,92,No,7,1,83
Female,5,74,No,9,2,61
Male,3,94,No,5,2,75
Female,6,75,No,7,3,63
Female,4,56,Yes,7,4,36
Male,9,67,Yes,5,4,62
Female,3,67,Yes,8,5,49
Male,4,61,Yes,8,1,46
Male,7,77,Yes,6,2,69
Female,7,46,Yes,6,1,35
Female,4,54,No,8,5,38
Male,6,71,No,8,1,62
Female,3,50,Yes,8,1,30
Male,6,63,No,8,2,52
Female,2,42,No,7,2,16
Female,8,69,No,6,5,66
Female,2,45,No,5,1,20
Male,7,97,No,4,1,86
Female,9,41,Yes,5,1,38
Male,1,53,Yes,9,4,30
Female,8,80,Yes,4,1,71
Female,7,57,Yes,7,3,49
Female,6,90,Yes,9,5,79
Male,6,83,Yes,6,2,69
Male,6,70,No,4,3,56
Male,9,52,Yes,8,1,47
Female,2,65,No,9,4,41
Female,1,83,No,7,3,58
Male,6,51,Yes,4,5,38
Female,8,57,Yes,8,4,52
Male,3,48,Yes,9,3,25
Male,1,88,No,7,2,62
Male,9,60,Yes,9,2,60
Female,1,87,Yes,4,3,63
Male,3,88,Yes,8,5,72
Female,8,92,No,6,5,84
Female,3,95,Yes,7,4,74
Female,4,79,Yes,4,5,61
Female,8,82,No,8,3,77
Female,1,63,No,6,2,36
Male,6,73,No,9,5,65
Male,1,47,Yes,8,1,23
Male,1,83,Yes,6,1,60
Male,8,92,No,4,1,83
Male,4,72,Yes,8,3,56
Male,1,62,No,8,5,37
Female,7,52,No,5,4,43
Male,5,93,No,7,1,76
Male,5,92,No,8,2,83
Male,1,88,No,6,5,63
Female,6,53,Yes,7,4,39
Male,9,53,Yes,4,5,48
Male,9,55,Yes,7,1,53
Male,8,88,Yes,5,1,84
Male,5,77,No,4,1,63
Male,1,97,Yes,8,3,73
Female,9,99,No,9,5,99
Male,1,78,No,4,2,52
Male,8,65,Yes,4,3,58
Male,5,65,Yes,5,5,50
Female,3,40,No,6,2,18
Male,7,71,Yes,4,3,62
Female,7,96,Yes,6,4,87
Male,9,54,Yes,7,1,53
Male,7,91,Yes,9,1,87
Male,3,60,No,5,2,37
Female,1,57,No,8,2,31
Male,8,69,Yes,4,1,63
Male,3,99,No,9,4,81
Female,8,97,No,9,2,95
Male,8,52,Yes,6,4,45
Male,5,63,Yes,4,3,48
Female,1,69,No,9,5,47
Male,7,41,No,5,3,31
Female,5,58,No,8,4,43
Male,8,86,Yes,7,4,82
Male,9,83,No,7,5,80
Female,7,86,No,6,2,76
Male,7,64,Yes,9,5,57
Female,1,89,No,7,4,64
Male,4,53,Yes,6,3,35
Female,2,45,Yes,8,2,24
Male,2,51,No,4,4,30
Female,2,59,Yes,5,1,38
Male,4,62,Yes,8,1,45
Female,1,69,No,8,5,44
Male,4,69,Yes,7,2,53
Female,2,77,No,7,1,53
Male,5,97,Yes,5,2,84
Female,3,69,Yes,4,1,47
Male,8,80,No,8,3,76
Female,4,69,No,9,5,57
Male,1,96,No,7,2,71
Male,1,97,Yes,8,1,74
Male,3,75,No,4,3,54
Female,9,88,Yes,6,2,84
Female,7,73,No,4,5,62
Female,2,55,Yes,8,4,35
Female,9,63,No,8,4,62
Female,2,53,Yes,5,4,30
Female,3,65,No,8,2,47
Male,2,47,Yes,7,3,25
Male,3,53,Yes,9,4,40
Female,6,70,Yes,5,3,56
Female,9,41,Yes,8,3,38
Female,9,87,No,4,4,86
Male,7,43,Yes,8,2,38
Female,3,40,No,4,4,17
Female,4,94,Yes,4,2,75
Female,6,59,No,8,3,48
Female,5,98,Yes,4,3,87
Male,2,53,Yes,9,1,32
Female,6,79,No,6,2,68
Female,3,64,No,5,4,42
Female,8,99,Yes,8,3,96
Male,2,64,No,6,2,42
Male,1,42,No,4,3,18
Female,9,44,No,4,1,41
Female,3,77,Yes,5,2,54
Female,1,93,No,6,3,67
Female,7,65,Yes,6,5,57
Male,5,79,No,8,4,65
Female,5,77,No,4,4,62
Male,1,77,Yes,7,1,56
Male,9,43,No,8,5,39
Male,7,46,No,8,1,38
Female,8,69,No,8,5,65
Male,9,69,No,5,3,68
Female,6,95,No,5,3,82
Female,5,58,No,8,4,44
Male,6,78,No,9,1,67
Female,2,74,Yes,7,5,53
Male,4,79,Yes,6,5,61
Male,3,72,Yes,6,1,53
Female,7,72,Yes,4,5,61
Male,9,53,Yes,6,5,49
Male,5,77,No,6,2,61
Male,6,49,Yes,7,3,38
Male,2,96,Yes,6,5,76
Female,3,67,No,7,3,47
Female,3,53,Yes,5,5,32
Male,9,75,No,7,2,71
Male,7,77,No,5,2,69
Female,8,55,Yes,7,3,53
Male,9,99,Yes,8,5,100
Female,6,60,No,9,3,49
Female,4,67,No,5,2,48
Female,1,72,Yes,5,3,45
Male,8,45,No,6,4,40
Male,7,80,Yes,5,2,71
Female,2,54,Yes,7,2,34
Female,8,83,Yes,8,5,76
Female,5,42,Yes,8,5,29
Female,7,82,No,6,2,71
Female,4,86,No,7,4,69
Female,5,74,Yes,7,5,58
Male,8,53,Yes,4,1,43
Male,1,41,No,5,3,17
Female,1,68,No,6,3,41
Female,4,43,No,8,4,27
Male,3,65,No,9,4,45
Male,2,90,No,4,5,65
Male,3,51,Yes,7,3,31
Female,1,41,Yes,5,3,14
Male,1,56,Yes,8,5,33
Male,6,74,Yes,4,1,60
Female,5,49,No,7,3,34
Female,8,87,No,8,2,82
Male,2,61,Yes,8,2,40
Female,4,80,Yes,7,1,66
Female,8,82,No,7,1,76
Male,6,60,Yes,6,2,46
Male,1,54,Yes,8,3,31
Male,4,74,No,7,5,57
Male,1,87,No,9,1,65
Male,2,60,No,9,5,38
Male,5,60,Yes,4,2,46
Male,8,60,No,5,2,53
Female,8,99,No,9,5,97
Male,3,83,Yes,6,3,63
Male,4,71,No,7,4,55
Female,6,94,Yes,5,5,79
Male,3,44,Yes,6,1,26
Female,2,78,Yes,8,1,55
Male,6,48,Yes,5,2,37
Male,5,92,No,9,1,78
Male,5,57,Yes,6,3,45
Female,5,60,No,7,4,45
Male,5,47,No,7,5,34
Male,3,83,No,6,3,66
Female,7,91,No,8,1,79
Male,6,73,No,9,1,63
Female,4,49,Yes,6,3,32
Female,2,90,No,4,2,64
Male,9,80,Yes,6,5,78
Male,1,96,Yes,6,5,69
Female,4,63,Yes,9,2,46
Female,1,79,No,7,1,54
Male,6,63,No,8,4,51
Female,4,95,No,6,1,78
Female,5,71,No,5,2,54
Male,5,95,Yes,7,1,80
Male,9,72,No,7,1,67
Female,1,77,No,6,5,48
Male,2,83,Yes,9,1,61
Female,6,96,Yes,5,2,83
Female,5,95,Yes,6,4,82
Male,7,90,Yes,5,4,78
Female,3,98,Yes,7,2,78
Female,3,88,Yes,5,5,70
Female,2,73,Yes,6,3,48
Male,3,50,No,4,3,26
Male,1,70,No,4,2,46
Male,5,57,Yes,5,4,42
Female,5,62,Yes,9,2,46
Male,7,99,No,6,1,91
Male,4,61,Yes,8,4,47
Male,3,82,Yes,4,2,61
Female,1,57,Yes,7,2,31
Male,8,79,Yes,6,1,71
Male,3,86,Yes,6,5,66
Male,2,80,No,4,4,52
Female,4,86,Yes,8,2,71
Female,3,78,Yes,7,3,60
Female,1,59,Yes,8,3,32
Male,3,52,No,7,5,33
Female,2,84,No,4,3,56
Male,8,40,Yes,6,3,32
Female,6,91,Yes,7,5,76
Male,9,43,Yes,6,2,40
Female,8,63,Yes,5,3,60
Female,3,75,No,5,5,54
Male,5,75,No,4,1,59
Male,7,84,Yes,4,1,74
Male,5,41,Yes,9,1,29
Male,8,67,No,4,1,61
Female,5,65,No,5,2,50
Male,1,62,Yes,7,1,36
Female,5,54,Yes,8,3,41
Male,4,75,Yes,4,2,60
Male,6,66,No,8,2,56
Male,3,45,No,8,3,23
Female,5,74,No,5,2,63
Female,2,78,No,9,1,54
Female,6,77,Yes,7,3,64
Male,6,74,No,5,4,64
Female,5,75,No,4,3,58
Female,6,49,No,5,2,38
Male,7,69,Yes,5,5,60
Male,5,92,No,5,2,79
Male,1,80,No,4,1,57
Male,8,77,No,4,3,69
Male,4,68,Yes,5,2,51
Male,9,91,No,5,4,86
Female,6,98,Yes,8,5,90
Male,1,82,Yes,7,3,57
Male,3,78,No,8,4,61
Female,3,89,Yes,9,4,71
Female,4,43,No,7,4,30
Male,6,44,Yes,9,2,34
Female,7,43,Yes,7,3,34
Female,4,75,No,5,5,58
Female,6,98,No,8,4,85
Male,1,84,Yes,7,5,55
Male,8,55,Yes,9,5,51
Male,7,64,Yes,7,2,53
Male,9,53,Yes,4,1,51
Female,3,50,No,7,5,31
Male,2,68,Yes,5,2,44
Male,1,73,Yes,6,1,48
Female,3,61,No,4,5,41
Male,5,53,Yes,6,1,40
Female,2,95,No,5,5,72
Female,3,63,No,6,2,41
Female,4,98,No,7,4,78
Male,7,78,Yes,6,4,70
Female,3,65,No,8,2,41
Male,9,82,No,5,2,78
Female,8,75,No,8,2,70
Male,4,78,Yes,6,2,61
Male,1,55,Yes,8,1,33
Male,1,97,Yes,4,1,71
Female,1,77,Yes,6,2,51
Male,1,98,No,9,3,72
Female,8,71,No,8,3,69
Female,3,45,No,7,5,21
Male,6,73,Yes,6,3,61
Female,3,95,No,9,5,76
Female,5,47,Yes,4,2,30
Female,7,69,Yes,7,2,59
Female,2,66,Yes,6,2,45
Male,6,46,No,7,2,39
Male,6,66,No,6,1,53
Male,3,64,Yes,6,4,43
Male,6,95,No,5,2,85
Female,5,85,Yes,8,4,70
Female,2,80,No,6,1,56
Male,9,54,Yes,4,5,52
Male,8,64,Yes,9,1,65
Female,3,61,Yes,8,4,39
Male,8,57,No,5,1,48
Male,9,51,No,8,4,47
Female,3,62,No,8,4,41
Male,3,90,No,6,3,72
Male,2,84,No,4,3,61
Male,8,78,Yes,6,3,74
Male,1,64,No,4,5,38
Male,8,49,Yes,4,5,42
Male,7,69,No,7,2,60
Female,7,49,No,6,2,35
Male,3,73,No,5,2,52
Male,1,85,Yes,9,2,61
Male,4,52,No,8,4,32
Male,9,93,Yes,7,2,95
Female,5,68,No,5,3,53
Female,1,77,Yes,9,1,54
Male,5,80,Yes,9,4,70
Male,8,84,Yes,6,5,78
Female,8,48,Yes,4,2,42
Male,5,52,No,6,1,33
Male,9,76,No,9,1,75
Female,1,53,Yes,6,4,26
Female,4,76,No,7,3,58
Female,3,48,Yes,5,1,29
Female,2,47,No,9,3,29
Male,8,78,No,7,5,70
Female,7,79,No,5,2,67
Female,9,93,Yes,7,4,93
Female,2,42,No,8,4,21
Female,4,94,Yes,4,4,74
Male,6,95,No,4,1,82
Female,3,86,Yes,4,1,65
Male,8,79,No,8,4,75
Male,3,72,Yes,9,5,55
Female,2,71,Yes,9,1,54
Female,3,46,Yes,8,1,26
Female,6,58,No,4,1,48
Male,2,73,Yes,4,4,49
Female,8,53,No,5,1,49
Female,1,89,Yes,5,5,64
Male,7,86,Yes,6,4,81
Male,2,85,Yes,7,3,64
Female,6,95,No,5,1,82
Male,2,96,No,5,1,74
Female,2,58,No,5,3,32
Male,8,90,No,5,2,83
Male,2,93,No,8,4,68
Male,7,98,No,6,3,90
Male,3,65,No,5,3,44
Male,8,56,Yes,9,4,51
Female,7,93,Yes,7,5,86
Male,8,67,No,5,2,62
Male,7,58,No,8,5,48
Female,6,66,No,9,3,56
Male,7,87,No,4,1,79
Female,5,91,No,4,4,74
Male,7,96,Yes,6,4,82
Female,1,58,No,4,5,32
Male,1,72,No,5,5,46
Female,9,90,No,8,5,88
Female,5,46,Yes,6,4,35
Female,5,68,Yes,9,5,56
Male,3,94,Yes,5,3,74
Female,5,82,Yes,4,5,67
Male,3,44,No,7,4,23
Male,9,69,Yes,5,2,67
Male,9,88,Yes,7,4,86
Male,6,82,Yes,9,3,70
Female,1,95,Yes,7,3,68
Male,7,97,Yes,9,5,91
Male,7,47,No,6,5,42
Female,4,81,Yes,8,1,62
Male,8,51,Yes,4,5,44
Male,6,81,Yes,4,2,67
Female,4,52,No,5,2,35
Male,4,65,No,4,4,46
Female,2,57,No,6,4,31
Female,2,81,No,4,3,59
Female,4,90,No,5,1,71
Male,5,91,No,4,3,74
Male,8,88,No,8,3,80
Female,6,59,No,9,2,49
Female,4,55,Yes,7,2,39
Male,7,76,Yes,7,2,67
Male,8,42,No,9,2,38
Male,2,66,Yes,7,5,47
Male,7,54,No,8,5,41
Female,2,97,Yes,6,3,75
Male,2,73,Yes,5,5,53
Female,8,84,No,8,5,81
Male,2,61,Yes,5,5,37
Male,9,79,No,6,3,77
Female,1,62,No,8,1,36
Male,9,98,Yes,4,3,95
Male,1,88,No,6,2,65
Male,2,43,Yes,7,3,18
Female,6,90,Yes,8,5,80
Male,6,93,No,6,4,81
Female,1,96,No,6,3,73
Female,7,80,No,8,3,74
Female,8,62,No,7,3,57
Male,2,86,No,9,1,64
Female,8,99,Yes,7,2,97
Female,9,48,No,6,3,42
Female,6,63,Yes,5,2,48
Female,5,60,No,9,4,46
Female,9,80,Yes,9,4,79
Male,9,85,Yes,6,2,83
Male,1,94,Yes,8,4,70
Male,3,92,Yes,8,4,73
Female,9,55,Yes,8,4,56
Male,2,95,No,7,1,71
Male,4,94,Yes,4,5,76
Male,4,64,No,8,2,49
Male,2,65,Yes,8,3,43
Female,3,88,No,9,1,67
Male,3,84,Yes,5,5,63
Male,1,48,Yes,5,4,18
Male,6,54,No,6,1,43
Male,8,78,No,6,2,72
Female,3,72,Yes,6,4,57
Male,5,40,Yes,8,4,25
Female,1,44,No,5,3,15
Female,7,95,Yes,6,2,88
Female,1,48,Yes,5,2,24
Male,9,83,No,8,3,81
Female,8,45,Yes,9,3,40
Male,7,67,Yes,8,3,60
Female,7,84,No,6,3,73
Female,5,65,Yes,8,3,52
Female,5,67,No,8,5,53
Male,5,79,No,5,5,65
Male,1,54,Yes,4,3,30
Female,8,45,Yes,7,1,39
Female,1,66,No,6,1,43
Female,4,77,No,4,3,59
Male,9,43,Yes,9,2,38
Male,9,50,No,6,5,44
Female,5,60,Yes,4,5,44
Male,4,69,No,8,4,53
Female,3,57,No,6,2,37
Male,3,74,No,4,3,52
Female,5,42,Yes,7,5,30
Male,1,51,No,8,2,22
Male,5,66,No,6,5,51
Female,6,92,No,9,4,82
Female,7,69,No,9,5,63
Female,9,60,Yes,6,1,58
Male,3,77,No,4,5,58
Male,2,60,Yes,6,2,38
Female,3,99,No,8,3,80
Female,9,77,No,5,3,70
Female,7,79,Yes,9,5,72
Female,9,54,Yes,4,4,48
Female,2,57,No,7,5,36
Male,5,91,No,6,2,73
Male,4,68,No,8,1,51
Male,2,87,Yes,6,1,63
Female,9,77,No,7,3,74
Female,9,99,Yes,8,3,98
Male,6,60,No,7,2,45
Female,6,56,Yes,8,2,45
Male,8,80,Yes,5,3,74
Female,6,90,Yes,9,1,81
Male,1,57,No,8,5,30
Female,4,96,No,7,2,77
Male,7,94,Yes,4,4,86
Female,2,76,Yes,9,4,58
Male,9,99,Yes,5,2,99
Male,8,77,No,6,3,69
Female,8,51,No,5,4,47
Male,7,50,No,5,1,42
Female,4,87,Yes,6,3,73
Male,2,91,No,8,3,71
Male,3,88,No,5,2,68
Male,6,59,No,9,5,47
Male,5,48,Yes,5,3,31
Male,8,40,No,4,5,31
Female,6,97,No,9,1,86
Male,6,42,No,4,5,27
Female,1,60,No,9,4,32
Female,4,62,No,7,3,41
Male,5,48,Yes,6,4,33
Female,3,93,Yes,9,5,75
Female,9,58,Yes,9,5,57
Female,1,84,Yes,8,1,59
Female,6,94,No,8,3,87
Female,6,85,No,7,1,72
Female,5,91,Yes,8,1,78
Male,5,58,Yes,8,4,46
Female,5,62,Yes,4,4,47
Male,6,66,No,8,3,58
Male,8,66,No,8,4,63
Male,2,78,No,7,3,56
Male,6,75,Yes,7,1,62
Female,1,51,Yes,5,5,23
Male,4,94,Yes,8,4,73
Female,3,66,No,8,4,46
Female,9,85,No,9,5,80
Female,3,73,Yes,8,2,59
Female,6,72,Yes,4,5,60
Male,1,67,No,9,5,41
Female,6,70,No,8,4,61
Female,4,71,Yes,4,4,51
Female,8,89,Yes,5,1,82
Male,9,59,No,9,3,55
Female,4,79,Yes,6,3,64
Female,6,74,Yes,8,5,61
Male,1,70,No,9,1,44
Female,4,97,Yes,7,1,81
Male,7,70,No,9,5,64
Female,1,77,Yes,7,3,53
Male,8,61,No,8,3,55
Male,6,84,Yes,4,4,72
Female,5,80,Yes,7,5,65
Male,9,48,Yes,9,4,44
Male,2,91,No,9,1,70
Male,5,48,Yes,7,3,34
Female,6,54,Yes,5,3,41
Male,7,52,No,5,2,43
Female,5,61,Yes,5,3,48
Male,9,55,No,7,4,46
Male,1,71,No,7,3,47
Female,7,41,No,9,3,37
Male,7,65,Yes,8,5,56
Male,4,53,No,8,3,40
Female,9,98,Yes,4,4,96
Male,5,77,No,7,1,63
Male,4,73,Yes,8,5,58
Male,7,47,No,8,1,36
Male,4,75,No,5,5,61
Female,3,60,Yes,5,4,39
Female,9,95,No,5,5,90
Male,8,85,Yes,6,1,79
Male,1,82,No,8,5,58
Male,7,95,Yes,5,1,89
Male,9,67,No,5,3,64
Male,8,85,No,7,5,78
Female,8,83,Yes,9,4,79
Male,6,87,No,5,1,72
Male,4,45,Yes,7,5,26
Male,8,59,Yes,4,2,52
Female,3,70,No,5,4,49
Female,9,72,No,9,5,66
Male,2,83,No,7,1,59
Male,2,46,Yes,9,2,28
Female,7,47,Yes,5,4,39
Female,4,48,No,4,3,31
Male,8,41,Yes,5,5,33
Male,9,56,No,7,2,57
Male,7,91,No,4,1,83
Male,5,84,No,4,1,69
Female,8,76,Yes,4,3,71
Male,4,81,Yes,6,2,62
Male,2,83,No,7,5,58
Male,6,56,Yes,6,3,46
Female,9,92,No,9,3,93
Female,1,77,No,4,5,48
Female,7,74,Yes,6,2,68
Female,9,99,No,5,2,97
Male,9,86,No,6,2,82
Male,3,78,No,8,3,57
Male,5,69,No,9,1,55
Female,8,45,No,4,2,37
Female,8,43,Yes,4,1,35
Male,4,90,Yes,9,3,72
Female,1,76,No,9,5,51
Male,1,74,Yes,7,4,50
Female,4,97,No,5,3,82
Female,6,96,No,9,2,84
Female,8,48,No,9,2,46
Male,6,45,No,7,3,34
Female,9,52,Yes,9,5,55
Male,9,98,Yes,6,5,95
Female,2,61,No,8,1,40
Male,1,67,Yes,8,1,42
Male,2,69,No,8,1,45
Female,5,91,Yes,9,3,80
Male,4,75,No,8,1,60
Female,4,41,No,5,5,21
Male,9,97,No,6,1,95
Male,8,75,Yes,8,4,72
Female,6,47,Yes,4,2,35
Female,1,84,No,9,5,58
Female,2,81,Yes,6,1,59
Male,6,89,Yes,5,3,77
Male,2,48,Yes,8,3,23
Male,5,40,Yes,5,5,26
Female,5,52,Yes,9,5,39
Male,6,89,Yes,8,4,79
Male,6,54,Yes,4,2,39
Male,6,71,Yes,6,4,61
Female,2,73,Yes,4,4,47
Male,3,82,Yes,8,3,63
Male,6,70,Yes,7,1,61
Male,8,53,Yes,6,5,51
Female,1,93,Yes,5,3,68
Male,1,86,No,8,2,66
Female,2,53,No,4,1,29
Female,6,87,Yes,9,1,78
Female,9,94,Yes,7,3,94
Female,4,68,Yes,9,2,56
Female,3,86,No,8,2,68
Female,8,58,No,5,3,50
Female,9,66,Yes,4,1,62
Female,5,48,Yes,6,5,31
Male,9,76,Yes,7,5,73
Male,2,76,Yes,8,4,57
Female,3,82,Yes,8,1,60
Male,7,67,No,8,1,56
Male,7,91,Yes,8,1,88
Female,6,96,No,4,4,84
Male,6,63,Yes,6,3,48
Female,2,67,Yes,5,4,41
Female,6,75,No,7,2,65
Female,4,91,No,8,3,74
Female,3,57,Yes,9,1,38
Male,2,64,No,8,1,40
Female,1,74,Yes,6,2,49
Male,5,43,No,6,2,30
Female,2,53,No,4,5,29
Male,2,78,Yes,4,2,57
Female,7,65,Yes,9,2,58
Female,8,47,No,9,2,40
Male,8,63,Yes,4,5,60
Male,4,55,No,7,2,41
Male,1,59,No,9,4,34
Female,7,54,Yes,4,3,46
Female,1,46,No,8,5,24
Female,4,97,Yes,4,3,79
Female,8,56,Yes,7,2,52
Male,2,61,No,4,1,36
Male,6,61,Yes,4,1,52
Male,6,93,No,8,4,84
Female,9,51,No,9,1,50
Female,5,57,Yes,8,1,47
Male,4,95,Yes,8,4,81
Male,5,85,No,4,5,70
Female,5,86,Yes,8,3,77
Female,8,54,No,6,4,49
Male,8,76,No,5,3,70
Male,2,55,No,5,3,28
Female,7,44,No,8,3,36
Male,8,41,No,9,2,34
Female,6,91,Yes,7,4,80
Male,5,67,No,8,1,51
Male,9,96,No,9,3,95
Female,3,80,No,8,4,60
Female,4,93,No,4,5,78
Female,9,66,No,9,5,65
Male,6,70,No,7,5,57
Female,8,80,Yes,8,1,75
Female,7,75,Yes,6,5,69
Female,2,86,No,9,4,62
Male,3,82,No,5,1,63
Male,1,40,No,9,2,11
Female,9,89,Yes,6,1,91
Male,7,68,No,6,3,58
Female,1,40,No,6,3,15
Female,3,47,No,7,5,24
Female,4,96,No,7,4,80
Female,4,55,No,9,2,36
Male,5,97,No,7,4,83
Male,3,67,Yes,5,1,49
Female,3,61,No,4,5,41
Male,1,57,No,9,1,33
Female,7,61,No,8,1,52
Female,1,80,No,8,4,52
Male,2,51,No,9,4,31
Male,4,58,No,4,2,38
Female,4,64,No,8,5,45
Male,5,89,No,9,3,79
Male,2,98,No,9,1,78
Female,4,44,Yes,6,2,24
Female,1,98,Yes,5,5,72
Female,2,73,Yes,8,1,52
Female,1,78,No,5,1,50
Male,4,98,Yes,9,4,83
Male,4,49,Yes,4,1,32
Male,7,86,Yes,9,2,84
Female,9,96,Yes,8,5,95
Female,9,46,No,5,2,43
Male,5,99,Yes,6,5,82
Male,1,76,Yes,6,1,54
Female,1,86,No,9,2,59
Female,6,91,Yes,4,4,78
Male,2,99,No,7,5,79
Male,8,91,Yes,8,4,87
Male,9,54,Yes,9,2,53
Male,4,81,Yes,6,4,65
Female,5,63,No,6,2,48
Male,8,65,Yes,4,5,61
Male,3,65,Yes,6,5,41
Female,5,85,No,8,2,75
Male,3,65,Yes,4,2,44
Female,3,97,Yes,5,1,79
Female,3,49,Yes,4,1,29
Female,7,56,Yes,8,4,44
Female,7,92,Yes,8,4,85
Male,7,53,No,5,1,40
Female,8,41,No,9,1,36
Female,5,87,No,4,4,72
Male,5,52,Yes,8,3,36
Male,4,66,Yes,8,3,51
Male,7,48,Yes,5,5,38
